017,District Law Enforcement,"210,065.76"
018,District Law Enforcement,"297,836.44"
019,District Law Enforcement,"266,045.99"
020,District Law Enforcement,"203,385.31"
022,District Law Enforcement,"204,339.76"
024,District Law Enforcement,"249,034.10"
025,District Law Enforcement,"355,002.80"
044,Recruit Training,104.58
045,Gang Team Area 2,"5,539.42"
050,District Law Enforcement,"359,308.50"
051,Airport Law Enforcement - South,"50,537.45"
055,Mounted Patrol Unit,"18,640.11"
057,District Law Enforcement,"41,598.03"
059,Marine Unit,"76,926.54"
060,District Law Enforcement,"10,094.56"
079,Detective Div. - Area 1,"123,116.31"
102,District Law Enforcement,"13,173.76"
111,Office of the Superintendent,"18,770.13"
114,District Law Enforcement,"10,390.51"
115,Office of Crime Control Strategies,"14,057.65"
116,District Law Enforcement,"85,759.63"
120,District Law Enforcement,"4,772.23"
121,Human Resources Division,"102,514.33"
122,Finance Division,324.61
123,Human Resources Division,"99,072.58"
124,District Law Enforcement,"265,062.46"
125,Public Safety Information Technology (PSIT),"24,185.16"
126,Inspection Division,"15,695.43"
127,Gang Team Area 1,"12,228.88"
128,District Law Enforcement,"4,493.52"
129,Management and Labor Affairs Section,696.04
130,District Law Enforcement,"2,266.43"
131,District Law Enforcement,"1,891.10"
133,District Law Enforcement,"12,167.11"
134,District Law Enforcement,"4,486.82"
135,Education & Training Division,"8,846.30"
136,District Law Enforcement,"9,281.56"
140,District Law Enforcement,"4,631.36"
141,District Law Enforcement,272.77
142,District Law Enforcement,"9,585.23"
,,
,OT REPORT - CITYWIDE BY UNIT 1/1/2017 - 12/31/2017,
May,"GRAND TOTAL: 15,141,359.42",
,,
143,Education & Training Division,"11,955.38"
145,District Law Enforcement,"121,229.97"
148,Traffic Court and Records Unit,"1,160.78"
153,Special Functions Support,"84,804.54"
161,Special Functions Division,"7,313.50"
163,District Law Enforcement,"8,259.41"
166,Field Services Section,"39,221.84"
167,Evidence and Recovered Property Section,"2,292.03"
169,Police Documents Section,"2,424.40"
171,District Law Enforcement,"72,724.09"
172,District Law Enforcement,"2,322.63"
177,District Law Enforcement,"73,844.59"
180,Detective Div. - Area 2,"34,897.50"
181,Detective Div. - Area 3,"77,632.66"
184,Special Investigations Unit,"7,993.76"
187,Central Homicide - Eval and Support Unit,"17,451.83"
188,District Law Enforcement,"4,174.79"
189,Narcotics Division,"948,056.01"
191,Intelligence Division,"193,968.35"
192,Off. Deputy Chief A/l,"96,428.49"
193,Gang Investigation Division,"416,999.81"
195,Narcotics Division,"92,640.44"
196,Intelligence Division,"39,001.89"
211,Off. Deputy Chief A/l,"218,375.92"
212,District Law Enforcement,"146,766.52"
213,Off. Deputy Chief A/3,"209,134.24"
222,District Law Enforcement,"3,953.90"
231,District Law Enforcement,"2,408.58"
241,Criminal Registration Unit,"7,912.34"
261,Human Resources Division,"11,848.87"
277,Forensic Services Unit,"140,200.16"
311,Off. Deputy Chief A/l,"155,757.70"
312,Gang Team Area 2,"265,475.97"
313,Gang Team Area 3,"189,770.90"
341,Violence Reduction Unit - South,"44,674.40"
353,Special Weapons & Tactical Unit,"155,321.94"
376,District Law Enforcement,"83,028.12"
384,Special Investigations Unit,"29,233.38"
441,Off. Deputy Chief A/l,"8,936.58"
442,Bomb Unit,"70,628.42"
542,Detached Services - Govt Security Detail,"115,994.80"
543,Narcotics Division,"12,315.82"
545,District Law Enforcement,"3,336.18"
602,District Law Enforcement,"15,237.50"
603,Off. Deputy Chief A/3,"63,880.37"
604,Detective Div. - Area 1,"77,663.43"
606,Central Homicide - Eval and Support Unit,"225,051.13"
608,Central Homicide - Eval and Support Unit,"56,745.72"
610,Detective Div. - Area 1,"831,357.87"
620,District Law Enforcement,"591,244.81"
630,Detective Div. - Area 3,"732,156.88"
701,Public Transportation Section,"125,809.31"
702,CTA Security Unit,"2,049.94"
704,Transit Security Unit,"69,575.78"
711,Violence Reduction Unit - Central,121.23
,,
001,Detective Div. - Area 1,"435,051.63"
002,District Law Enforcement,"246,726.76"
003,District Law Enforcement,"115,999.58"
004,Bomb and Arson Division,"342,499.42"
005,District Law Enforcement,"487,136.45"
006,District Law Enforcement,"225,826.17"
007,District Law Enforcement,"371,828.37"
008,District Law Enforcement,"259,657.44"
009,District Law Enforcement,"349,977.16"
010,District Law Enforcement,"451,235.75"
Oil,District Law Enforcement,"217,515.89"
012,Forensic Services Unit,"250,744.57"
014,District Law Enforcement,"288,923.98"
015,District Law Enforcement,"249,342.47"
016,District Law Enforcement,"193,912.52"
017,District Law Enforcement,"138,652.63"
018,District Law Enforcement,"361,799.51"
019,District Law Enforcement,"296,944.39"
020,District Law Enforcement,"167,795.50"
022,District Law Enforcement,"207,849.11"
024,District Law Enforcement,"170,795.63"
025,District Law Enforcement,"292,964.75"
045,Gang Team Area 2,"1,531.14"
050,Airport Law Enforcement - North,"317,087.96"
051,Airport Law Enforcement - South,"76,915.25"
055,Gang Team Area 2,"33,766.22"
057,Off. Deputy Chief A/2,"54,399.06"
059,Special Functions Support,"93,780.30"
060,Helicopter Unit,"10,352.95"
079,Special Investigations Unit,"106,404.97"
102,District Law Enforcement,"11,241.91"
111,Office of the Superintendent,"19,757.49"
114,District Law Enforcement,"7,078.44"
115,District Law Enforcement,"12,078.29"
116,Deployment Operations Center,"82,663.25"
120,Narcotics Division,"5,147.46"
121,Bureau of Internal Affairs,"104,327.49"
122,Finance Division,"1,258.44"
123,Human Resources Division,"91,272.62"
124,Education & Training Division,"274,265.00"
125,Public Safety Information Technology (PSIT),"29,020.30"
126,District Law Enforcement,"11,234.82"
127,Human Resources Division,"21,011.85"
128,Education & Training Division,"1,899.16"
129,District Law Enforcement,311.50
130,Bureau of Technical Services,"1,548.38"
131,Domestic Violence,"6,271.75"
133,Public Safety Information Technology (PSIT),"24,307.27"
134,District Law Enforcement,"1,631.36"
135,District Law Enforcement,"6,926.57"
136,Forensic Services Unit,"4,470.96"
140,District Law Enforcement,"5,484.38"
141,Special Functions Division,"2,025.37"
142,District Law Enforcement,"5,641.47"
143,District Law Enforcement,"8,789.88"
,,
,OT REPORT - CITYWIDE BY UNIT 1/1/2017 - 12/31/2017,
June,"GRAND TOTAL: 14,381,01733",
,,
145,Traffic Administration Unit,"137,806.56"
148,District Law Enforcement,376.47
153,Special Functions Support,"78,584.81"
161,Airport Law Enforcement - South,"12,284.49"
163,Traffic Section-Detail Unit,"5,262.72"
166,District Law Enforcement,"34,721.26"
167,Evidence and Recovered Property Section,"4,892.53"
169,Police Documents Section,877.07
171,Central Detention Unit,"101,661.70"
172,District Law Enforcement,"2,692.90"
177,Forensic Services Division,"101,072.51"
180,Detective Div. - Area 2,"31,749.63"
181,Detective Div. - Area 3,"77,459.48"
184,Detective Div. - Area 2,"2,364.25"
187,Central Homicide - Eval and Support Unit,"14,046.76"
188,District Law Enforcement,"1,476.55"
189,Gang Team Area 3,"817,475.56"
191,Intelligence Division,"124,207.44"
192,VICE,"86,384.07"
193,Gang Investigation Division,"339,604.66"
195,Gang Team Area 3,"69,086.70"
196,Asset Forfeiture Section,"25,581.04"
211,District Law Enforcement,"223,865.24"
212,District Law Enforcement,"129,582.94"
213,District Law Enforcement,"226,022.07"
222,District Law Enforcement,"15,684.32"
231,Summer Mobile Patrol,"1,185.18"
241,District Law Enforcement,"9,777.04"
261,Court Section,"11,558.72"
277,Forensic Services Unit,"172,419.89"
311,District Law Enforcement,"138,430.40"
312,Gang Team Area 2,"174,187.79"
313,Gang Team Area 3,"189,713.73"
341,Canine Unit,"73,134.96"
353,District Law Enforcement,"190,868.11"
376,Central Detention Unit,"92,646.21"
384,Special Investigations Unit,"36,818.59"
441,Special Activities Section,"7,894.49"
442,Bomb Unit,"93,178.19"
542,Detached Services - Govt Security Detail,"90,337.98"
543,Narcotics Division,"17,045.12"
545,District Law Enforcement,"4,019.50"
602,District Law Enforcement,"14,208.49"
603,District Law Enforcement,"68,254.60"
604,Central Homicide - Eval and Support Unit,"75,229.94"
606,Central Homicide - Eval and Support Unit,"237,684.46"
608,District Law Enforcement,"73,914.19"
